"filename", "language", "CSS", "HTML", "PHP", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\oan-industies-limited\index.php", "PHP", 0, 0, 79, 0, 0, 11, 90
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\oan-industries-limited.php", "PHP", 0, 0, -79, 0, 0, -11, -90
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\omviras-marine-services-limited.php", "PHP", 0, 0, -58, 0, 0, -13, -71
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\omviras-marine-services-limited\index.php", "PHP", 0, 0, 58, 0, 0, 13, 71
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\owais-metal-and-mineral-processing-limited\index.php", "PHP", 0, 0, 160, 0, 0, 12, 172
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\owais-metal-mineral-processing-limited.php", "PHP", 0, 0, -160, 0, 0, -12, -172
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\paramount-dye-tec-limited.php", "PHP", 0, 0, -123, 0, 0, -14, -137
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\paramount-dye-tec-limited\index.php", "PHP", 0, 0, 123, 0, 0, 14, 137
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\platinumone-business-Services-Limited.php", "PHP", 0, 0, -140, 0, 0, -12, -152
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\platinumone-business-services-limited\index.php", "PHP", 0, 0, 140, 0, 0, 12, 152
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\rapid-fleet-management-services-limited.php", "PHP", 0, 0, -80, 0, 0, -11, -91
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\rapid-fleet-management-services-limited\index.php", "PHP", 0, 0, 80, 0, 0, 11, 91
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\rapid-multimodal-logistics-limited.php", "PHP", 0, 0, -158, 0, 0, -11, -169
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\rapid-multimodal-logistics-limited\index.php", "PHP", 0, 0, 158, 0, 0, 11, 169
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\reetech-international-cargo-courier-Limited.php", "PHP", 0, 0, -140, 0, 0, -13, -153
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\reetech-international-cargo-courier-limited\index.php", "PHP", 0, 0, 140, 0, 0, 13, 153
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\resgen-limited.php", "PHP", 0, 0, -181, 0, 0, -11, -192
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\resgen-limited\index.php", "PHP", 0, 0, 182, 0, 0, 11, 193
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\retaggio-industries-limited.php", "PHP", 0, 0, -76, 0, 0, -12, -88
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\retaggio-industries-limited\index.php", "PHP", 0, 0, 74, 0, 0, 13, 87
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\retina-paints-limited.php", "PHP", 0, 0, -139, 0, 0, -12, -151
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\retina-paints-limited\index.php", "PHP", 0, 0, 137, 0, 0, 12, 149
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\riddhi-corporate-services-limited.php", "PHP", 0, 0, -120, 0, 0, -13, -133
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\riddhi-corporate-services-limited\index.php", "PHP", 0, 0, 118, 0, 0, 13, 131
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\sagar-diamonds-limited.php", "PHP", 0, 0, -119, 0, 0, -12, -131
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\sagar-diamonds-limited\index.php", "PHP", 0, 0, 117, 0, 0, 12, 129
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\sailani-tours-N-Travels-Limited.php", "PHP", 0, 0, -143, 0, 0, -11, -154
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\sailani-tours-n-travels-limited\index.php", "PHP", 0, 0, 141, 0, 0, 11, 152
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\sellowrap-industries-limited.php", "PHP", 0, 0, -60, 0, 0, -13, -73
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\sellowrap-industries-limited\index.php", "PHP", 0, 0, 58, 0, 0, 13, 71
